ID,PearsonCorr,BVol,GVol,WVol,ThicknessSum
3000286,0.833685,1532930,528037,463914,1488280
3000578,0.825798,1588920,535359,463715,1542250
3000898,0.821096,1277360,428111,380357,1202580
3001782,0.820890,1319860,435100,410983,1124090
3001815,0.803212,1339970,434524,404164,1028790
3002769,0.804869,1268350,411557,372136,1133980
3002860,0.785862,1396980,401910,452769,871477
3002965,0.829503,1639540,571415,479363,1587650
3003183,0.822009,1773260,546299,531527,1341160
3003868,0.796523,1424710,481953,438693,1284010
3004081,0.844568,1270140,454825,370274,1325790
3004209,0.803315,1244200,435952,373167,1245430
3004373,0.836987,1538460,522496,444599,1381000
3005093,0.847052,1242760,454346,400026,1395420
3005162,0.837811,1349920,466870,385423,1216820
3005186,0.835747,1387530,457126,423601,1259990
3005388,0.799902,1681600,544088,497823,1311290
3006054,0.805118,1287500,436816,352877,1174030
3007021,0.812487,1407410,470884,413655,1340400
3007445,0.818692,1580480,500868,483894,1291170
3007552,0.829914,1600260,560339,462919,1720120
3008104,0.775077,1521850,510750,437286,1301190
3009124,0.758861,1577080,514498,466466,1306820
3009509,0.782033,1434440,459813,451458,1210160
3009706,0.792678,1494910,476588,439107,1210740
3010886,0.783873,1332820,439525,414727,1123590
3010895,0.800228,1258880,407567,399818,976177
3011911,0.807461,1507380,516470,438382,1394670
3012102,0.778970,1518920,500793,435419,1245400
3012287,0.829299,1531520,539789,446896,1612770
3012316,0.806116,1328910,437017,409334,1177830
3014248,0.794882,1317960,405966,401799,989730
3014915,0.811210,1718650,584764,497119,1521500
3015171,0.772338,1420030,446496,425473,1048110
3015290,0.829782,1514830,516885,485442,1444550
3015420,0.823454,1361120,483039,397188,1362890
3015488,0.835370,1287840,434153,359463,1179380
3016209,0.798249,1559280,513256,455467,1313000
3016470,0.816459,1444650,470721,434971,1208180
3016482,0.804534,1370510,445946,399084,1069340
3016793,0.814003,1460610,447827,402567,1115050
3016939,0.805389,1566960,517500,441847,1382770
3017381,0.827863,1522620,515552,451181,1399030
3017517,0.834862,1451470,477585,429398,1281320
3017712,0.809871,1367890,454013,396765,1215830
3017853,0.833504,1392440,478186,400575,1301110
3018019,0.784162,1293460,399877,425641,967992
3018131,0.796003,1456200,474842,444810,1192690
3018379,0.789402,1291380,415368,371881,1089680
3018492,0.783114,1338440,451825,379225,1210160
3019005,0.814371,1378920,467394,386664,1249370
3019378,0.758499,1398530,437207,439469,996316
